,sentence,word_labels,label
0,"combo 3 cái giao có 1 cái , thành_ra đặt 6 cái nhận được 4 , hàng thì vải xấu giống vải áo_mưa , con trai chê vứt đi rồi","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-DES,B-DES,O,B-DES,B-DES,O,O,O,O,O,O,O",-1
1,mình mua áo có cổ màu trắng lại ship tới cho mình áo không cổ màu xanh . đã vậy lại còn size không đúng thì sao mà mặc . mình yêu_cầu được đổi hàng,"O,O,B-DES,B-DES,I-DES,B-DES,I-DES,O,O,O,O,O,B-DES,B-DES,I-DES,B-DES,I-DES,O,O,O,O,O,B-DES,I-DES,I-DES,O,O,O,O,O,O,O,O,O,O",-1
2,giao sai hàng . tôi muốn trả hàng . đặt be đậm giao be nhạt,"O,O,O,O,O,O,O,O,O,O,B-DES,I-DES,O,B-DES,I-DES",-1
3,sản_xuất việt_nam nhưng thấy in chữ trung_quốc nên không hài_lòng về sản_phẩm này,"O,O,O,O,B-DES,I-DES,O,O,O,O,O,O,O",-1
4,mình đặt áo sơ_mi trắng dài tay mà shop giao cho mình cái áo_phông chán shop ghê làm lỡ hết bao_nhiêu việc của mình,"O,O,B-DES,I-DES,B-DES,B-DES,I-DES,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",-1
5,quần chật không giống ảnh nên mình muốn trả hàng và hoàn tiền,"B-DES,B-DES,B-DES,I-DES,I-DES,O,O,O,O,O,O,B-PRI,I-PRI",-1
6,mới mặc mà rách rồi . đi ngoài đường không biết chui đâu để trốn,"O,O,O,B-DES,O,O,O,O,O,O,O,O,O,O,O",-1
7,hi . quynh trang shop mình mong các bạn hãy tôn_trọng khách_hàng khi đặt_hàng nhưng giao không đúng và phản_ánh thì lại chặn vậy là không nên shop nhé .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",-1
8,"sản_phẩm khác hoàn_toàn hình_ảnh thể_hiện , chất_lượng kém , sản_phẩm rách , bẩn . không phải giấy vải mà chỉ là giấy bình_thường . tệ vô_cùng .","O,O,O,O,O,O,O,O,O,O,B-DES,O,O,O,O,O,O,B-DES,O,O,O,O,O,O,O,O,O",-1
9,"chọn size xl mà giao cỡ nhỏ , không có tem gì hết . vải mỏng xuyên thấu . không giống như hình mô_tả .","O,B-DES,I-DES,O,O,B-DES,B-DES,O,O,O,O,O,O,O,B-DES,B-DES,B-DES,I-DES,O,B-DES,I-DES,I-DES,I-DES,O,O",-1
